#{"t_start": 1653844795.1450188, "env_id": null}
r,l,t,taskid,success
-19.980015,20,198.640026,7,0
-19.99132,20,198.64005,7,0
-19.989931,20,198.640073,7,0
-19.988668,20,198.640097,7,0
-19.993769,20,198.640121,7,0
0.0,1,199.597578,5,1
0.0,1,199.597765,5,1
-16.785862,20,200.738683,0,0
-1.7784286,3,203.524866,0,1
-2.9349988,4,203.524957,5,1
-19.306633,20,203.524998,9,0
-18.921583,20,205.043847,6,0
-18.147469,20,206.536298,4,0
-17.22674,20,207.338401,0,0
-19.411848,20,207.338504,8,0
-7.773833,11,208.114651,0,1
-9.94717,11,208.928758,5,1
-18.93371,20,208.928848,8,0
-20.0,20,209.677102,5,0
-17.723963,20,212.392642,0,0
-18.979929,20,212.392929,8,0
0.0,1,213.096655,0,1
-19.783314,20,213.096756,9,0
-18.779108,20,213.096797,9,0
-19.95819,20,214.565163,1,0
-19.94838,20,214.565252,1,0
-19.957258,20,214.565285,1,0
-19.93434,20,214.565313,1,0
-19.956661,20,214.565339,1,0
-19.954983,20,214.565365,1,0
-19.955605,20,214.56539,1,0
-19.965387,20,214.565416,1,0
-19.964167,20,214.565441,1,0
-19.953737,20,214.565466,1,0
-19.902063,20,214.56549,1,0
-19.989893,20,214.565515,2,0
-19.99036,20,214.56554,2,0
-19.98797,20,214.565565,2,0
