#{"t_start": 1653729806.5974, "env_id": null}
r,l,t,taskid,success
-19.965012,20,113.59565,1,0
-19.986341,20,113.595746,2,0
-18.579327,20,113.595781,6,0
-19.989805,20,113.59581,7,0
-19.38235,20,113.822641,8,0
-16.487932,20,114.254949,0,0
-19.545364,20,114.255026,9,0
-19.988335,20,114.347335,5,0
0.0,1,114.473677,5,1
-19.20217,20,114.779052,3,0
-18.549858,20,115.109605,4,0
-19.956121,20,115.942293,1,0
-19.993986,20,115.942371,2,0
-19.256855,20,115.942423,6,0
-19.986895,20,115.942489,7,0
-19.223316,20,116.136664,8,0
-18.24395,20,116.553647,0,0
-18.238556,20,116.553726,9,0
-20.0,20,116.709566,5,0
-18.682837,20,116.884292,3,0
-18.589846,20,117.16637,4,0
